Item,Dev Checked,Comments,Stage,Short Description,Section (if/a),Data Example,Legitimacy Analysis,Accountability Metric,ItemWeight,Project Item?,Web3-Accountability Metric,Extra Transparency Points,Sub-Criteria (TBD),Sub-Item of,v0.5+: Web3 Points
Software License:,true,,OpenAlpha (v0.3),Open Source or Proprietary Software Licenses (Closed Source),"Techincals,Sub-Dev Activity",Option List,N/A,Transparency,10.0,Project Page,N/A,,Project Development,Repositories +,
Roadmap Timeline +,false,The timeline chart embed table needs design,OpenAlpha (v0.3),This is a tool for visualizing the project’s development strategy. ,"Overview,Sub-Roadmap",Timeline Chart - Table,by continuity - performance/resilience,"Transparency,Performance Eval",30.0,Project Page,N/A,,"Project Disclosure (Trans),Fundraising",Roadmap (Sub-section Title) (Section name),
Core Team + (tag: present/past),false,"Regarding the ""country/region"" in the third column of the previous core team, is the ""activebool"" column meant to replace it or be added as a new one?",OpenAlpha (v0.3),This item details a project’s core team members.,"Organizatio,Sub-Team Details","Table [Name, Role, ActiveBool]]","by continuity - performance/resilience,by process - participation","Participation,Transparency",40.0,Project Page,N/A,,"Internal Stakeholders (Parti),Core contributors (Trans)",Team Profile (Section Title) +,
Launch Plan +,true,,OpenAlpha (v0.3),How and when do you intend to Start the Project,"Overview,Sub-Roadmap",Long Text,"""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Performance Eval",30.0,Project Page,N/A,,,Roadmap Timeline +,
Airdrops +,true,,OpenAlpha (v0.3),whether project had free distribution of coins of a project. or there's a live airdrop happening?,"Token ",Bool,N/A,"Participation,Transparency",20.0,Project Page,N/A,,,,
Team Location,true,,OpenAlpha (v0.3),whereabouts of the founders,"Organizatio,Sub-Team Details",multi option,N/A,"Participation,Transparency",20.0,Project Page,N/A,,Internal Stakeholders (Parti),,
Ownership of Projects +,true,,OpenAlpha (v0.3),"the individuals or groups who have authority, accountability, and decision-making power over the project’s direction, scope, and outcomes","Organizatio,Sub-Team Details",Text,N/A,"Transparency,Participation",20.0,Project Page,N/A,,"Project Disclosure (Trans),Project Description",Affiliated Projects,
Smart Contract Audits,false,timeline table needs design,OpenAlpha (v0.3),"Were the project's smart contract audited?

","Techincals,Sub-Dapp Statistics","v1. Bool ; v2: timeline table, combined with audit report",N/A,Transparency,20.0,"Project Page,Campaign Tab",Security,,"Project Disclosure (Trans),Security (Eval)",Audit Status + [DUPLICATE?],
Token Benefits (Finance),false,need options,OpenAlpha (v0.3),"What are the benefits a token allows
","Sub-Token Data,Token ",Option list,by process - participation,"Transparency,Participation",30.0,Project Page,N/A,,,Token Holders:,
Token Risks,false,need options,OpenAlpha (v0.3),Risk analysis in web3 and meatspace,"Sub-Token Data,Token ",Option list,"N/A,by process - participation","Transparency,Participation",40.0,Project Page,Security,,,Token Holders:,
Token Rights (Governance),false,need options,OpenAlpha (v0.3),Voting rights the token allows,"Token ,Sub-Token Data",Option list,by process - participation,"Transparency,Participation",30.0,Project Page,N/A,,,"Token Holders:,Governance (Section name)",
Token Obligations,false,need options,OpenAlpha (v0.3),Obligations the participants have by owning the token,"Token ,Sub-Token Data",Option list,by process - participation,"Transparency,Participation",30.0,Project Page,N/A,,,Token Holders:,
"D-app storage stack (Nov, 2022) ",true,,OpenAlpha (v0.3),Where is the project data stored?,,Text,N/A,Transparency,30.0,,"Resilience - Decentralisation,Security",,,,
"D-app Account Management(i.e ID) stack (Nov, 2022)",true,,OpenAlpha (v0.3),"How is the User Index managed on the dapp?
",,Text,N/A,Transparency,30.0,,"Security,Resilience - Decentralisation",,,,
"D-app logic/program stack (Nov, 2022)\",true,,OpenAlpha (v0.3),Where lies the project's backend?,,Text,N/A,Transparency,30.0,,"Resilience - Decentralisation,Security",,,,
"User Data (D-app) storage stack (Nov, 2022)",true,,OpenAlpha (v0.3),Specifies where and how your project stores user data.,,Text,N/A,Transparency,30.0,,"Resilience - Decentralisation,Security",,,,
Unique Value Proposition,true,,OpenAlpha (v0.3),What makes your project stand out from others?,Overview,Text,N/A,"Transparency,Performance Eval",20.0,,N/A,,,,
Audit Report,true,,OpenAlpha (v0.3),"data analysis, investigation, detection and prevention of crimes and illegal transactions in the networks of cryptocurrency and blockchain companies.","Financials,Sub-Token Data",Report Link: URL | Auditor Name: Plain text (+link),N/A,Transparency,30.0,Project Page,Security,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),Asset Statements,
Vault (treasury) Address + step2,true,,OpenAlpha (v0.3),The vault address is meant to present the smart contract address where the treasury stored and also the people having the authority to get/approve the access to this address.,"Governance,Financials",0x Address,N/A,Transparency,40.0,Project Page,"Resilience - Decentralisation,Security",Financial Disclosure (Trans)(Security),"Internal Stakeholders (Parti),Financial Disclosure (Trans)(Security)",On-chain Treasury (yes/no) step1,
Previous Funding Rounds,true,,OpenAlpha (v0.3),List of previous successful funding rounds of the project,"Financials,Sub-Previous Fuding",date + amount  + if applicable link,by continuity - performance/resilience,Transparency,30.0,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",,
"Milestone + (achieved or not, an entry in roadmap)",false,How is the roadmap and its associated fields displayed?,OpenAlpha (v0.3),Designating the intermediate stage of project development. ,"Overview,Sub-Roadmap","[Intended Date, text, achieved/not] || to append to Roadmap .csv/.json",by continuity - performance/resilience,"Transparency,Performance Eval",40.0,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising","Roadmap (Sub-section Title) (Section name),Roadmap Timeline +",
Vault (treasury) Multi-sig  Holder Addresses + step2,false,Does 'link' refer to the social media address of keyholders?,OpenAlpha (v0.3),Table of Keyholders.,Financials,0x00 Address + Link,N/A,Transparency,20.0,"Project Page,Campaign Tab",N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",,
On-chain Treasury (yes/no) step1,true,,OpenAlpha (v0.3),"The Treasury is a pot of funds collected through a portion of block production rewards, transaction fees, slashing, staking inefficiencies, etc.",Governance,Y/N,by process - participation,"Participation,Transparency",60.0,Project Page,"Resilience - Decentralisation,Security",Financial Disclosure (Trans)(Security),"Internal Stakeholders (Parti),Financial Disclosure (Trans)(Security)",,
Budget Plans +,true,,OpenAlpha (v0.3),Outlines expected income and expenses over a defined time period.,"Financials,Sub-Treasury ",[v0]: URL,N/A,"Transparency,Performance Eval",30.0,Project Page,N/A,Financial Disclosure (Trans)(Security),"Internal Stakeholders (Parti),Financial Disclosure (Trans)(Security)",,
Private Funding Rounds,true,,OpenAlpha (v0.3),"Includes the data: date, fundraising size, participants, price, smart contract address ","Financials,Sub-Previous Fuding","Table [Date, amount $, textName, amountShares]",N/A,Transparency,20.0,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising","Total Investment Amount,Previous Funding Rounds",
Token Sales (public sale e.g. ICO) (name of item can be sensitive),false,"There is already a ""Token Sales"" field， so, change the type of the old field to an embedded table type ?",OpenAlpha (v0.3),"Details the public token sale, including timeline, funding goals, participation, and contract address.","Financials,Sub-Previous Fuding","Table [date, amountTokenSold, Price, Link],",by process - participation,Transparency,30.0,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",Total Investment Amount,
Decentralised Governance,true,need fix typo: Decentralised -&gt; Decentralized ?,OpenAlpha (v0.3),An added layer of security by requiring more than one key to authorize a transaction/decision in governance,Financials,Table [Addresses],by process - participation,Transparency,50.0,Project Page,"Resilience - Decentralisation,Security",Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",Vault (treasury) Address + step2,
"Locking Period [team] + ",false,Would it be better to display an input box \[amount\] + a selector \[days/months\]?,OpenAlpha (v0.3),"a pre-planned span of time, usually following a token sale when token holders of a cryptocurrency project are prohibited from selling their tokens.","Financials,Token ",[number] Amount of Days and/or Months. (No.),N/A,Transparency,30.0,Project Page,Security,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Token Utility,true,,OpenAlpha (v0.3),"Describe what the token is used for within the Project — whether it unlocks access, enables governance, rewards users, supports financial activity, or serves another function.
Choose all that apply based on current utility (not future plans).","Token ,Sub-Token Data","option list [Access & Payments, Governance & Rights, Incentives & Rewards, Financial Function, Identity & Reputation, None/Not yet)",by process - participation,Transparency,30.0,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",Token Profile (sub-section)(Section name),
Board Incentive,false,,"v0.4  (API required),OpenAlpha (v0.3)",Some sort of token/stock based compensation ,"Governance,Sub-Governing Body",ELAB (not percentage?),,Participation,,Project Page,,,"Internal Stakeholders (Parti),Board/ Governors (Parti)",,
Treasury Mechanism +,false,,"OpenAlpha (v0.3),v0.4  (API required)",a community controlled and decentralized collaborative decision-making mechanism for sustainable funding of the underlying blockchain development and maintenance.,Governance,,,Participation,,Project Page,,,,On-chain Treasury (yes/no) step1,
Blockchain Explorer,false,,"OpenAlpha (v0.3),v0.4  (API required)",Where can the community can find more block data of the project? e.g. Etherscan. S: yeah that would be the list for explorers based on which blockchains they are on,"Overview,Techincals",URL,"by process - participation,Community acceptance - sentiment","Transparency,Participation",,"Project Page,Campaign Tab",Resilience - Decentralisation,,"Project Disclosure (Trans),In Code We Trust (Trans)",,
Motion Types:,false,,"v0.4  (API required),OpenAlpha (v0.3)",,Governance,,,Participation,,Project Page,,,"Internal Stakeholders (Parti),Governance scope (Parti)",Scope of Governance (sub-section) (Section Title),
Dapp Category +,false,,"v0.4  (API required),OpenAlpha (v0.3)",State if the Project's nature is 1. Financial  2. Partly Financial  3.Non Financial ,"Overview,Sub-Dapp Statistics","option list [Financial, Partly Financial, Non Financial]",N/A,Transparency,,Project Page,N/A,,"Project Disclosure (Trans),In Code We Trust (Trans),DAPP",Project Description +,
Board Members,false,,"v0.4  (API required),OpenAlpha (v0.3)",A board member is an elected community member.,"Governance,Sub-Governing Body",Address,,Participation,,Project Page,,,"Internal Stakeholders (Parti),Board/ Governors (Parti)",,
Total Votes(ers),false,,"OpenAlpha (v0.3),v0.4  (API required)",,"Organizatio,Sub-Governance Mechanism","Title, Amount No.",,Participation,,Project Page,,,"Internal Stakeholders (Parti),Governance scope (Parti)",,
Total Motion Types:,false,,"OpenAlpha (v0.3),v0.4  (API required)",,"Organizatio,Sub-Governance Mechanism","Title, Amount No.",,Participation,,Project Page,,,"Internal Stakeholders (Parti),Governance scope (Parti)",,
DAO Source Code,false,,"v0.4  (API required),OpenAlpha (v0.3)",,"Governance,Sub-Governance Mechanism",,by process - participation,Participation,,Project Page,,,"Internal Stakeholders (Parti),Governance tooling (Parti)",,
Followers (ecf page?),false,,"v0.4  (API required),OpenAlpha (v0.3)",One who has a strong interest or pays close attention to a project.,,,Community acceptance - sentiment,Participation,,,,,"Performance (Eval),Community Participation Rating (Eval)",,
Contribution Frequency [ECF Page],false,,"v0.4  (API required),OpenAlpha (v0.3)",,,TBD,,Participation,,"Project Page,Campaign Tab",,,"Performance (Eval),Community Participation Rating (Eval)",,
Token Concentration (if token),false,,"OpenAlpha (v0.3),v0.4  (API required)",Token concentration refers to how much of a token’s total supply is held by a small number of addresses. It signals the level of distribution and potential centralization of power or risk within a project’s economy.,"Token ,Sub-Token Data",Rate,N/A,"Transparency,Participation",,Project Page,"Security,Resilience - Decentralisation",,"Token Expectation,Credibility/Legitimacy Rating (Eval),Scam Reporting (C&R)","Token Profile (sub-section)(Section name),Governance Mechanism +",
Number of Nodes,false,,"OpenAlpha (v0.3),v0.4  (API required)",,"Sub-Maintainence ",,Community acceptance - sentiment,"Transparency,Performance Eval",,Project Page,,,,POW (Section Title),
Geographical Distribution (if Blockchain),false,,"OpenAlpha (v0.3),v0.4  (API required)",,"Sub-Maintainence ",,"""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Participation,Performance Eval",,Project Page,"Resilience - Decentralisation,Security",,"Project Disclosure (Trans),External Stakeholder (Parti)",POW (Section Title),
Token Inflation Rate,false,,"v0.4  (API required),OpenAlpha (v0.3)",,"Sub-Maintainence ",,N/A,Transparency,,Project Page,Security,,,POW (Section Title),
Tools (PoW),false,,"v0.4  (API required),OpenAlpha (v0.3)",,"Sub-Maintainence ",,"Community acceptance - sentiment,by process - participation","Participation,Transparency",,Project Page,Security,,Infrastructure maintenance (aka mining),POW (Section Title),
Participation Threshold (Token),false,,"v0.4  (API required),OpenAlpha (v0.3)",,"Sub-Maintainence ",,,,,Project Page,,,,"POS (Sub-section) (Section Title),Nominator Amount ",
Token Lock-Up Period,false,,"OpenAlpha (v0.3),v0.4  (API required)",,"Sub-Maintainence ,Techincals",,by process - participation,"Transparency,Participation",,Project Page,N/A,,Infrastructure maintenance (aka mining),POS (Sub-section) (Section Title),
"DEX 24h Volume (Nov, 2022)",false,,"OpenAlpha (v0.3),v0.4  (API required)",,,,,,,,,,,,
"DEX market cap (Nov, 2022)",false,,"v0.4  (API required),OpenAlpha (v0.3)",,,,,,,,,,,,
"token ROI (lifetime)(Nov, 2022)",false,,"v0.4  (API required),OpenAlpha (v0.3)",,,,,,,,,,,,
Team token locking period,false,,"OpenAlpha (v0.3),v0.4  (API required)",Token lockup refers to a time period during which cryptocurrency tokens cannot be exchanged or traded.,"Token ,Organizatio",percentage + months/days,N/A,Transparency,,Project Page,Security,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),,Blockchain applicable
Capital Endorsers + :,false,,"OpenAlpha (v0.3),v0.4  (API required)","Table: User(if/a)/Address, Rep, Rounds, Eval, Amount.","Financials,Sub-Endorsers",,,Transparency,,"Project Page,Campaign Tab",,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Endorses (Sentiment)",,
Token ROI (24hr),false,,"OpenAlpha (v0.3),v0.4  (API required)","Short for “Return on Investment,” the ratio between the net profit and cost of investing.","Token ,Sub-Token Price Metrics",,,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Distribution Graph:,false,,"OpenAlpha (v0.3),v0.4  (API required)","The allocation of tokens specific to a new cryptocurrency project when it is launched. Usually dispersed among founders, investors, staff, the community and for operational/marketing requirements.","Token ,Sub-Token Distribution",,,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Token Burn Rate,false,,"v0.4  (API required),OpenAlpha (v0.3)",The amount of coins that removed from the circulation,"Financials,Sub-Assets",Number,,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),Expenses Statements [DELETE],
Runway +,false,,"OpenAlpha (v0.3),v0.4  (API required)",Estimates how long the project can operate based on its current spending and available funds.,"Financials,Sub-Assets",$No.,"""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Performance Eval",,Project Page,,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),Expenses Statements [DELETE],
Exchanges List,false,,"OpenAlpha (v0.3),v0.4  (API required)",A list of exchanges to trade this token,"Token ",,,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Distribution:,false,,"OpenAlpha (v0.3),v0.4  (API required)","The allocation of tokens specific to a new cryptocurrency project when it is launched. Usually dispersed among founders, investors, staff, the community and for operational/marketing requirements.","Token ,Sub-Token Distribution",,,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Market Cap,false,,"OpenAlpha (v0.3),v0.4  (API required)", The value of all  coins on the exchange,"Token ,Sub-Token Price Metrics",,,"Transparency,Performance Eval",,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Token Distribution (over addresses?),false,,"OpenAlpha (v0.3),v0.4  (API required)","Shows the percentage of coin holders, founders, investors and for sale.e.g.Private Sale,Pre-Sale, Public Sale.","Token ,Sub-Token Data",[ELAB],,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Funding Status +,false,,"OpenAlpha (v0.3),v0.4  (API required)",This shows if the project is currently fundraising,"Sidebar (Essential Items),Financials","Option List [Actively Fundraising, Funded / Capital Secured, Grant Pending / In Review, Self-Funded, Public Crowdsale, Ongoing, No Funding Required, Not Disclosed]",by process - participation,"Transparency,Participation",,"Campaign Tab,Project Page",N/A,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),Financial Status +,
Asset Statements,false,,"v0.4  (API required),OpenAlpha (v0.3)","An asset statement provides insight into your net worth, meaning money you have left over after you pay all your bills. Assets are economic resources that you own.",Financials,,N/A,Transparency,,Project Page,N/A,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),,
Supplied Circulation (by Whitepaper),false,,"v0.4  (API required),OpenAlpha (v0.3)","A measure of the supply of a cryptocurrency that is in general circulation. Given lost or burned coins, this figure is hard to accurately establish. Circulating supply will function as a proportion of Total Supply.","Token ,Sub-Token Data",,,Transparency,,Project Page,,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Token",,
Complaints & Redress Rating,false,,"OpenAlpha (v0.3),v0.4  (API required),Research",,,,,Complaints & Redress,,"Project Page,Team Page",,,C&R Rating (C&R),,
Node Anonimity (2023.2),false,,"OpenAlpha (v0.3),v0.4  (API required),Research",,"Sub-Maintainence ",,by process - participation,"Transparency,Participation",,Project Page,"Security,Resilience - Decentralisation",,,POS (Sub-section) (Section Title),
Project Funded (date) + (attestation),false,,"Research,OpenAlpha (v0.3),v0.4  (API required)",The date at which this project was last funded,"Sidebar (Essential Items),Overview,Financials","Date, Title, Amount","""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Performance Eval",,Project Page,N/A,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),Funding Status +,
Total Investment Amount,false,,"OpenAlpha (v0.3),v0.4  (API required),Research",,Financials,,,Transparency,,"Project Page,Campaign Tab",,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",,
3rd Party Participation Services,false,,"OpenAlpha (v0.3),v0.5 ",,"Sub-Maintainence ",,by process - participation,"Participation,Transparency",,Project Page,Resilience - Decentralisation,,,POW (Section Title),
Number of Nodes,false,,"v0.5 ,OpenAlpha (v0.3)",,"Sub-Maintainence ",,"Community acceptance - sentiment,""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Participation",,Project Page,"Resilience - Decentralisation,Security",,,POS (Sub-section) (Section Title),
Related Projects,false,,"Unplanned,OpenAlpha (v0.3)",These are projects related to current_$project,Sidebar (Essential Items),"Minimal Project Card, List of",,,,Project Page,,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),,
Protocol: Blockchain,false,,"OpenAlpha (v0.3),Research",,,,,Participation,,,,,Infrastructure maintenance (aka mining),,
Community Sentiment,false,,"OpenAlpha (v0.3),Research",Internally calculated score reflecting how the community perceives the project.,"Overview,Sidebar (Essential Items)",,,Participation,,Project Page,,,,,
Rating,false,,"OpenAlpha (v0.3),Research",Community rating from 1 to 5 stars,Sidebar (Essential Items),"Rating Visual ",Community acceptance - sentiment,Performance Eval,,Project Page,,,Performance (Eval),,
Resilience & Sustainability Rating,false,,"OpenAlpha (v0.3),Research",,,,,Performance Eval,,,,,Resilience & Sustainability Rating (Eval),,
Community Participation Rating,false,,"OpenAlpha (v0.3),Research",,,,,Performance Eval,,,,,"Performance (Eval),Community Participation Rating (Eval)",,
Security Rating,false,,"OpenAlpha (v0.3),Research",i.e. Attack Cost,,,,Performance Eval,,,,,"Security (Eval),Performance (Eval)",,
Project Partnerships (merged to affiliated?),false,,"OpenAlpha (v0.3),Research",,Organizatio,,Community acceptance - sentiment,"Transparency,Participation",,Project Page,N/A,,"Project Disclosure (Trans),Project Description",Affiliated Projects,
Audit Metric (TBD),false,,"OpenAlpha (v0.3),Research","a. audit to confirm compliance with the norms of AML (Anti Money Laundering) – the law against money laundering;

b. forensic audit – investigation of transactions, identification of unspoken connections, partners and stakeholders based on the study of distributed registries;

c. support and strengthening of financial crime investigation teams
d. Trudatum – confirmation of rights to a digital asset;
","Sidebar (Essential Items),Techincals",,N/A,Transparency,,"Project Page,Campaign Tab",Security,,"Security (Eval),Project Development",Audit Status + [DUPLICATE?],
Financial Status +,false,,"OpenAlpha (v0.3),Research","Main status of project’s lifeline e.g. in development, live , stealth, alpha, beta, acquired (no longer live), dead. 
 ","Sidebar (Essential Items),Overview","option list ",N/A,"Transparency,Performance Eval",,Project Page,N/A,,Project Development,,
Income/Revenue (Statements) +,false,,"OpenAlpha (v0.3),Research","Reports the project’s income over a defined period, with itemized sources and transaction details.","Financials,Sub-Assets",Report Link,"""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Performance Eval",,Project Page,N/A,Financial Disclosure (Trans)(Security),Financial Disclosure (Trans)(Security),Asset Statements,
Investments,false,,"OpenAlpha (v0.3),Research","Table: User(if/a)/Address, Rep, Rounds, Eval, Amount.",Financials,??,"Community acceptance - sentiment,by process - participation",Transparency,,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",,
Fundraising Price,false,,"OpenAlpha (v0.3),Research","the discounted Price at which the project shares / tokens have been sold to initial investors
",Financials,,N/A,Transparency,,Project Page,N/A,Financial Disclosure (Trans)(Security),"Financial Disclosure (Trans)(Security),Fundraising",,
Investment Stage,false,,OpenAlpha (v0.3),"Current Investment Stage and Type e.g. seed, VC",Financials,option list [No Investment、Pre-Seed、Seed、 Series A、 Series B、 Series C+、 Token Listed、 Grant Funded、 Acquired/Merged],"Community acceptance - sentiment,by process - participation",Transparency,60,,,Financial Disclosure (Trans)(Security),,,
,false,,,,,,,,,,,,,,
,false,,,,,,,,,,,,,,
,false,,,,,,,,,,,,,,
,false,,,,,,,,,,,,,,
,false,,,,,,,,,,,,,,
